,Odour,OdourCS,Experiment,Fly ID,file,Time_s,calcium_zscore,TrainingOdour,OdourOnset,TimeFromOdourOnset_s
66,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,17.577734869165724,-0.168034335141819,OCT,9.0,8.577734869165724
67,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,17.844064185365205,-0.5350725565116055,OCT,9.0,8.844064185365205
68,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,18.110393501564683,0.0591889598796126,OCT,9.0,9.110393501564683
69,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,18.376722817764165,-0.0389891967927878,OCT,9.0,9.376722817764165
70,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,18.643052133963646,-0.4081429122338698,OCT,9.0,9.643052133963646
71,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,18.909381450163128,-0.5336782536009788,OCT,9.0,9.909381450163128
72,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,19.17571076636261,-0.5586795471708357,OCT,9.0,10.175710766362606
73,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,19.442040082562087,-0.4634342345518223,OCT,9.0,10.442040082562087
74,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,19.70836939876157,0.0334664751490873,OCT,9.0,10.708369398761567
75,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,19.97469871496105,-0.0314407293111183,OCT,9.0,10.97469871496105
